Name	Category	Description	Included
jdk.G1HeapRegionInformation	{"Java Virtual Machine", "GC", "Detailed"}	Information about a specific heap region in the G1 GC	FALSE
jdk.G1HeapRegionTypeChange	{"Java Virtual Machine", "GC", "Detailed"}	Information about a G1 heap region type change	FALSE
jdk.G1HeapSummary	{"Java Virtual Machine", "GC", "Heap"}		FALSE
jdk.G1MMU	{"Java Virtual Machine", "GC", "Detailed"}	G1 MMU Information	FALSE
jdk.GCConfiguration	{"Java Virtual Machine", "GC", "Configuration"}	The configuration of the garbage collector	FALSE
jdk.GCHeapConfiguration	{"Java Virtual Machine", "GC", "Configuration"}	The configuration of the garbage collected heap	FALSE
jdk.GCHeapSummary	{"Java Virtual Machine", "GC", "Heap"}	Heap Summary	FALSE
jdk.GCLocker	{"Java Virtual Machine", "GC", "Detailed"}		FALSE
jdk.GCPhaseConcurrent	{"Java Virtual Machine", "GC", "Phases"}	GC Phase Concurrent	FALSE
jdk.GCPhaseConcurrentLevel1	{"Java Virtual Machine", "GC", "Phases"}		FALSE
jdk.GCPhaseParallel	{"Java Virtual Machine", "GC", "Phases"}		FALSE
jdk.GCPhasePause	{"Java Virtual Machine", "GC", "Phases"}		FALSE
jdk.GCPhasePauseLevel1	{"Java Virtual Machine", "GC", "Phases"}		FALSE
jdk.GCPhasePauseLevel2	{"Java Virtual Machine", "GC", "Phases"}		FALSE
jdk.GCPhasePauseLevel3	{"Java Virtual Machine", "GC", "Phases"}		FALSE
jdk.GCPhasePauseLevel4	{"Java Virtual Machine", "GC", "Phases"}		FALSE
jdk.GCReferenceStatistics	{"Java Virtual Machine", "GC", "Reference"}	Total count of processed references during GC	FALSE
jdk.GCSurvivorConfiguration	{"Java Virtual Machine", "GC", "Configuration"}	The configuration of the survivors of garbage collection	FALSE
jdk.GCTLABConfiguration	{"Java Virtual Machine", "GC", "Configuration"}	The configuration of the Thread Local Allocation Buffers (TLABs)	FALSE
jdk.GarbageCollection	{"Java Virtual Machine", "GC", "Collector"}	Garbage collection performed by the JVM	FALSE
jdk.InitialEnvironmentVariable	Operating System		FALSE
jdk.InitialSystemProperty	Java Virtual Machine	System Property at JVM start	FALSE
jdk.IntFlag	{"Java Virtual Machine", "Flag"}		FALSE
jdk.JVMInformation	Java Virtual Machine	Description of JVM and the Java application	FALSE
jdk.JavaThreadStatistics	{"Java Application", "Statistics"}		FALSE
jdk.LoaderConstraintsTableStatistics	{"Java Virtual Machine", "Runtime", "Tables"}		FALSE
jdk.LongFlag	{"Java Virtual Machine", "Flag"}		FALSE
jdk.MetaspaceChunkFreeListSummary	{"Java Virtual Machine", "GC", "Metaspace"}		FALSE
jdk.MetaspaceSummary	{"Java Virtual Machine", "GC", "Heap"}	Metaspace Summary	FALSE
jdk.NativeMethodSample	{"Java Virtual Machine", "Profiling"}	Snapshot of a threads state when in native	FALSE
jdk.NetworkUtilization	{"Operating System", "Network"}		FALSE
