Name,Category,Description
jdk.PSHeapSummary,"{""Java Virtual Machine"", ""GC"", ""Heap""}",Parallel Scavenge Heap Summary
jdk.ParallelOldGarbageCollection,"{""Java Virtual Machine"", ""GC"", ""Collector""}",Extra information specific to Parallel Old Garbage Collections
jdk.PhysicalMemory,"{""Operating System"", ""Memory""}",OS Physical Memory
jdk.PlaceholderTableStatistics,"{""Java Virtual Machine"", ""Runtime"", ""Tables""}",
jdk.ProcessStart,Operating System,Operating system process started
jdk.PromoteObjectInNewPLAB,"{""Java Virtual Machine"", ""GC"", ""Detailed""}","Object survived scavenge and was copied to a new Promotion Local Allocation Buffer (PLAB). Supported GCs are Parallel Scavange, G1 and CMS with Parallel New. Due to promotion being done in parallel an object might be reported multiple times as the GC threads race to copy all objects."
jdk.PromoteObjectOutsidePLAB,"{""Java Virtual Machine"", ""GC"", ""Detailed""}","Object survived scavenge and was copied directly to the heap. Supported GCs are Parallel Scavange, G1 and CMS with Parallel New. Due to promotion being done in parallel an object might be reported multiple times as the GC threads race to copy all objects."
jdk.PromotionFailed,"{""Java Virtual Machine"", ""GC"", ""Detailed""}",Promotion of an object failed
dk.ProtectionDomainCacheTableStatistics,"{""Java Virtual Machine"", ""Runtime"", ""Tables""}",
jdk.RedefineClasses,"{""Java Virtual Machine"", ""Class Loading""}",
jdk.ReservedStackActivation,"{""Java Virtual Machine"", ""Runtime""}",Activation of Reserved Stack Area caused by stack overflow with ReservedStackAccess annotated method in call stack
jdk.RetransformClasses,"{""Java Virtual Machine"", ""Class Loading""}",
jdk.SafepointBegin,"{""Java Virtual Machine"", ""Runtime"", ""Safepoint""}",Safepointing begin
jdk.SafepointCleanup,"{""Java Virtual Machine"", ""Runtime"", ""Safepoint""}",Safepointing begin running cleanup tasks
jdk.SafepointCleanupTask,"{""Java Virtual Machine"", ""Runtime"", ""Safepoint""}",Safepointing begin running cleanup tasks
jdk.SafepointEnd,"{""Java Virtual Machine"", ""Runtime"", ""Safepoint""}",Safepointing end
jdk.SafepointStateSynchronization,"{""Java Virtual Machine"", ""Runtime"", ""Safepoint""}",Synchronize run state of threads
jdk.SecurityPropertyModification,"{""Java Development Kit"", ""Security""}",Modification of Security property
jdk.ShenandoahHeapRegionInformation,"{""Java Virtual Machine"", ""GC"", ""Detailed""}",Information about a specific heap region in the Shenandoah GC
jdk.ShenandoahHeapRegionStateChange,"{""Java Virtual Machine"", ""GC"", ""Detailed""}",Information about a Shenandoah heap region state change
jdk.Shutdown,"{""Java Virtual Machine"", ""Runtime""}",JVM shutting down
jdk.SocketRead,Java Application,Reading data from a socket
jdk.SocketWrite,Java Application,Writing data to a socket
jdk.StringFlag,"{""Java Virtual Machine"", ""Flag""}",
jdk.StringFlagChanged,"{""Java Virtual Machine"", ""Flag""}",
jdk.StringTableStatistics,"{""Java Virtual Machine"", ""Runtime"", ""Tables""}",
